local_date,day_state,target_count,raw_message_count,operational_message_count,non_operational_message_count,incident_like_message_count,duplicate_candidate_members,reconstructed_incident_count_lower_bound,compiled_local_message_count,required_utc_source_dates,source_statuses,coverage_complete
2021-07-05,coverage_unknown,,1,0,1,1,0,1,0,2021-07-05|2021-07-06,2021-07-05:absent|2021-07-06:nonempty_completed,False
2021-07-06,observed_nonzero,5,6,0,6,6,2,5,0,2021-07-06|2021-07-07,2021-07-06:nonempty_completed|2021-07-07:nonempty_completed,True
2021-07-07,observed_nonzero,4,4,0,4,4,0,4,0,2021-07-07|2021-07-08,2021-07-07:nonempty_completed|2021-07-08:nonempty_completed,True
2021-07-08,observed_nonzero,5,5,0,5,5,0,5,0,2021-07-08|2021-07-09,2021-07-08:nonempty_completed|2021-07-09:nonempty_completed,True
2021-07-09,coverage_unknown,,2,0,2,2,0,2,0,2021-07-09|2021-07-10,2021-07-09:nonempty_completed|2021-07-10:empty_unverified,False
2021-07-10,coverage_unknown,,1,0,1,1,0,1,0,2021-07-10|2021-07-11,2021-07-10:empty_unverified|2021-07-11:nonempty_completed,False
2021-07-11,observed_nonzero,3,3,0,3,3,0,3,0,2021-07-11|2021-07-12,2021-07-11:nonempty_completed|2021-07-12:nonempty_completed,True
2021-07-12,observed_nonzero,4,6,0,6,6,4,4,0,2021-07-12|2021-07-13,2021-07-12:nonempty_completed|2021-07-13:nonempty_completed,True
2021-07-13,observed_nonzero,4,4,0,4,4,0,4,0,2021-07-13|2021-07-14,2021-07-13:nonempty_completed|2021-07-14:nonempty_completed,True
2021-07-14,observed_nonzero,4,6,0,6,6,4,4,0,2021-07-14|2021-07-15,2021-07-14:nonempty_completed|2021-07-15:nonempty_completed,True
2021-07-15,observed_nonzero,3,7,0,7,7,7,3,0,2021-07-15|2021-07-16,2021-07-15:nonempty_completed|2021-07-16:nonempty_completed,True
2021-07-16,observed_nonzero,6,9,0,9,9,6,6,0,2021-07-16|2021-07-17,2021-07-16:nonempty_completed|2021-07-17:nonempty_completed,True
